idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1_NG,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1594049,2471,Retail,Small,North East,Establishment,Retail services,North East,5,No,Panel,English,1,3,2025,15,25,2024,12,31,93,Interviewer9,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,Yes,Fully domestically owned (private),0,0,0,No,,2003,10,2006,25,No,No,,Yes,7.0,No,25000.0,Yes,30.0,3.0,0.0,10.0,,No,,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,With little difficulty,Retail trade of ,70,10000000.0,ten million,25000000.0,twenty-five million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,Yes,Yes,Tend to agree,Tend to agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,No,No,No,,,No,,No,,,,,,12.0,Square Feet,,No,,,Strongly agree,No,,No,Yes,100,0,0,0,0,0,0,Yes,550000.0,0.0,,550000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,Yes,No,No,,,,,,,,,,,No,No,No,Other,,,No,20,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,2.0,No,No,,One hour or less,No,No,No,,Not eligible,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,10,1,12,15,14,13,11,7,4,2,8,3,5,6,9,Access to finance,10,1,12,15,14,13,11,7,4,2,8,3,5,6,9,5,10,100.0,,,,,,0.0,1,3,1,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,Don't know (spontaneous),7000.0,0,,,0,540000.0,Don't know (spontaneous),,6000000.0,,Don't know (spontaneous),1,3,2025,16,41,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,4730,North East,Small (5-19),Retail,Panel,32.900005,34.945427,38.083054,48
1594050,2476,Food,Small,North East,Establishment,Manufacturing,North East,15,No,Panel,English,12,4,2025,19,25,2024,12,31,93,Interviewer9,,,,,,Private Unlimited Company - many owners,Shareholding company with non-traded shares or shares traded privately,,Yes,Fully domestically owned (private),0,0,0,No,,1995,15,1996,11,No,No,,No,,,,No,,,,,,Yes,100.0,No,,No,,,,PIPED WATER NOT USED FOR OPERATIONS,No,,,No,No,,No,Don't know (spontaneous),Manufacturing of ,80,25000000.0,Twenty five million,17000000.0,Seventeen million,75.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to disagree,Strongly agree,Don't know (spontaneous),,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,No,Yes,Yes,Yes,seed variety improvement,Yes,the process of seed selection by variety and sizes based on crop yield.,Yes,250000.0,,,,,,,,No,,,Strongly agree,Yes,4000000.0,No,No,100,0,0,0,0,0,0,Yes,0.0,1000000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,0,,,,,0,,,,No time spent,No,,,,,Don't know (spontaneous),No,No,No,,Not eligible,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Very severe obstacle,11,6,15,4,13,5,1,2,14,10,12,8,9,7,3,Transport,11,6,15,4,13,5,1,2,14,10,12,8,9,7,3,30,22,,Don't know (spontaneous),18.0,12.0,0.0,1.0,,4,10,4,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Moderate obstacle,No elecricity from a utiilty (spontaneous),,Don't know (spontaneous),,,Don't know (spontaneous),3000000.0,400000.0,500000.0,,500000.0,Don't know (spontaneous),12,4,2025,20,51,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,1061,North East,Small (5-19),Food,Panel,23.321392,24.082537,24.76735,39
1594051,2477,Other Services,Medium,North East,Establishment,Retail services,North East,14,No,Panel,English,22,3,2025,14,41,2025,1,31,93,Interviewer9,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,Yes,Fully domestically owned (private),0,0,0,No,,2009,14,2011,22,No,No,,No,,,,No,,,,,,Yes,10.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,No,With some difficulty,Retail trade of ,100,11000000.0,eleven million,18000000.0,eighteen million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,5.0,The market is dominated by one firm,Stayed the same,No,No,No,No,,,No,,No,,,,,,50.0,Square Feet,,No,,,Strongly agree,No,,No,No,30,70,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,No,50,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,50," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,Don't know (spontaneous),No,No,No,,The application for a refund is too complicated,No,,No,,100.0,,No,,,No,,,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Major obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,11,13,2,7,12,4,14,15,5,10,8,9,1,6,3,"Crime, theft and disorder",11,13,2,7,12,4,14,15,5,10,8,9,1,6,3,14,9,70.0,,,,,,0.0,8,3,3,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,75,100000.0,0,,,0,1500000.0,200000.0,,500000.0,,10,22,3,2025,15,24,Somewhat truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,4530,North East,Medium (20-99),Other Services,Panel,48.14295,51.73788,57.267433,60
1594052,2483,Retail,Large,North West,Establishment,Manufacturing,North West,85,No,Panel,Hausa,27,3,2025,14,26,2024,12,31,93,Interviewer20,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2009,4,2009,15,No,No,,No,,,,Yes,8.0,15.0,10.0,20.0,,Yes,40.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,With some difficulty,Manufacturing of ,80,50000000.0,fifty million,30000000.0,thirty million,80.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Tend to agree,Strongly agree,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,No,,,,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,5.0,There is competition among many firms,Stayed the same,No,No,Yes,Yes,Yes,production of satchets cola drink,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,Yes,60,20,0,0,0,20,0,Yes,1200000.0,500000.0,50.0,,30.0,,0.0,,0.0,,0.0,,20.0,,0.0,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),No,No,Application procedures were complex,,,No,30,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,50," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,20,Yes,4.0,No,No,,56,"Yes, partially","Yes, partially",No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,13,12,5,2,9,3,1,15,10,11,8,7,14,4,6,Electricity,13,12,5,2,9,3,1,15,10,11,8,7,14,4,6,65,50,80.0,,50.0,15.0,0.0,0.0,,20,15,15,No,,,,,,,No,,,No part-time workers,20,0.0,One month or less,No,,,No,,No obstacle,Minor obstacle,Don't know (spontaneous),700000.0,0,,,0,20000000.0,2500000.0,30000000.0,,250000000.0,15,27,3,2025,15,12,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,7,Face to face only,No,No,Over 250.000 to 1 million,1050,North West,Large (100 or more),Retail,Panel,1.5203545,1.675035,1.6981504,104
1594053,2496,Other Services,Small,North West,Establishment,Retail services,North West,10,No,Panel,Hausa,26,4,2025,14,37,2024,12,31,93,Interviewer37,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,Yes,Fully domestically owned (private),0,0,0,No,,2015,10,2015,21,No,No,,No,,,,No,,,,,,No,,Yes,100.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,No,There is only one available internet provider,Retail trade of ,100,100000000.0,One hundred million,80000000.0,eighty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to disagree,Tend to disagree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,,,,,100.0,Square Meters,,No,,,Tend to agree,No,,No,No,60,0,0,0,0,40,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Collateral requirements were too high,,,No,85,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,95," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,5,No,,,,,87,"Yes, partially","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,6,12,13,14,11,8,3,10,5,4,15,2,1,7,9,"Crime, theft and disorder",6,12,13,14,11,8,3,10,5,4,15,2,1,7,9,10,7,95.0,,,,,,0.0,3,5,2,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Moderate obstacle,100,15000.0,0,,,0,2000000.0,500000.0,,60000000.0,,5,26,4,2025,15,52,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,7,Face to face only,No,No,Over 250.000 to 1 million,4759,North West,Small (5-19),Other Services,Panel,73.926414,78.217094,78.17247,81
1594054,2507,Other Services,Small,North Central,Establishment,Retail services,North Central,6,No,Panel,English,24,3,2025,16,4,2024,12,31,93,Interviewer32,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2015,6,2016,14,No,No,,No,,,,Yes,3.0,15.0,20.0,No Losses,,Yes,40.0,No,,No,,,,PIPED WATER NOT USED FOR OPERATIONS,No,,,Yes,No,,No,There is only one available internet provider,Retail trade of ,100,10500000.0,Ten million five hundred thousand,8000000.0,Eight million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,No,No,Yes,No,selling of raw food stuff,No,,No,,,,,,12.0,Square Meters,,No,,,Tend to agree,No,,No,No,80,20,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,30,"Yes, partially","Yes, partially",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,Yes,14.0,No,Moderate obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Minor obstacle,Major obstacle,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Major obstacle,3,4,8,11,2,14,6,13,1,10,12,5,15,9,7,"Crime, theft and disorder",3,4,8,11,2,14,6,13,1,10,12,5,15,9,7,6,4,75.0,,,,,,1.0,0,3,3,No,,,,,,,No,,,1,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,500,20000.0,Don't know (spontaneous),,,Don't know (spontaneous),1800000.0,120000.0,,6500000.0,,Don't know (spontaneous),24,3,2025,17,9,Somewhat truthful,Are arbitrary and unreliable numbers,One visit in face-to-face interview with one person,,,6,Face to face only,No,No,City with population over 1 million,4722,North Central,Small (5-19),Other Services,Panel,108.221,110.44123,102.37518,13
1594055,2512,Retail,Large,South West,Establishment,Manufacturing,South West,2000,No,Panel,English,8,4,2025,14,31,2024,12,31,93,Interviewer17,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,Yes,0,Fully foreign owned (private),0,0,No,,1983,Don't know (spontaneous),Don't know (spontaneous),20,No,No,,No,,,,Yes,10.0,0.0,One minute or less,5.0,,Yes,5.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,Don't know (spontaneous),Manufacturing of ,35,200000000.0,two hundred million,100000000.0,one hundred million,100.0,100,0,0,,,,,,,,,,60,40,Yes,China,Yes,7.0,0.0,Don't know (spontaneous),0.0,5.0,No,,Tend to agree,Tend to agree,Tend to disagree,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with normal amount of effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Yes,Yes,Yes,No,,,Yes,a sophisticated chicken pens with a 24 hour electricity to avoid pollution in the industrial area,Yes,Don't know (spontaneous),,,,,,,,No,,,Tend to agree,No,,Yes,Yes,50,0,0,30,0,20,0,Yes,750000000.0,0.0,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,Yes,No,Yes,Private commercial banks,2023.0,Don't know (spontaneous),Yes,Yes,No,No,No,Yes,Don't know (spontaneous),No,No,No,Other,,,Yes,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,95," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,1,Yes,1.0,Yes,No,,36,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,1.0,,No,,,No,,,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,8,2,11,4,6,7,14,12,15,13,3,1,10,9,Access to finance,5,8,2,11,4,6,7,14,12,15,13,3,1,10,9,300,200,100.0,,200.0,100.0,0.0,15.0,,200,0,0,Yes,50.0,,50.0,,No women employees trained,,No,,,170,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,No obstacle,Don't know (spontaneous),30000000.0,0,,,0,100000000.0,Don't know (spontaneous),45000000.0,,1000000000.0,Don't know (spontaneous),8,4,2025,15,51,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,City with population over 1 million,1010,South West,Large (100 or more),Retail,Panel,1.0,1.0,1.0,205
1594056,2525,Other Services,Medium,North East,Establishment,Other services,North East,10,No,Panel,Hausa,23,3,2025,16,35,2024,12,31,93,Interviewer27,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,Yes,Fully domestically owned (private),0,0,0,No,,2000,6,2021,10,No,No,,No,,,,Yes,5.0,0.0,20.0,,200000.0,Yes,30.0,No,,No,,,,PIPED WATER NOT USED FOR OPERATIONS,No,,,No,No,,No,With little difficulty,Hotel,90,10000000.0,ten million,5000000.0,five million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to disagree,Tend to agree,Tend to disagree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,The market is dominated by a few firms,Increased,Prices are regulated,No,Yes,Yes,No,Better rooms with more hospitality,Yes,Better customer service and interaction for the customer service,No,,5.0,Don't know (spontaneous),,,,,,No,,,Tend to disagree,No,,No,Yes,50,50,0,0,0,0,0,Yes,400000.0,120000.0,20.0,,80.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,Application procedures were complex,,,No,60,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,60," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,20,No,,,,,Don't know (spontaneous),"Yes, partially","Yes, partially",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,No obstacle,10,15,2,8,14,4,11,3,7,12,13,6,1,9,5,"Crime, theft and disorder",10,15,2,8,14,4,11,3,7,12,13,6,1,9,5,6,6,70.0,,,,,,0.0,4,2,0,Yes,,,,,No women employees trained,,No,,,10,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,No obstacle,Don't know (spontaneous),8000.0,Don't know (spontaneous),,,Don't know (spontaneous),600000.0,120000.0,,,,10,23,3,2025,17,23,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,5510,North East,Medium (20-99),Other Services,Panel,37.891838,40.787483,42.013493,60
1594057,2540,Other Services,Large,North West,Establishment,Retail services,North West,8,No,Panel,Hausa,8,3,2025,17,39,2025,2,28,93,Interviewer20,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2017,16,1988,10,No,No,,No,,,,No,,,,,,Yes,70.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,Yes,7.0,No,With some difficulty,Retail trade of ,80,33000000.0,thirty three million,40000000.0,forty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly agree,Tend to disagree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,,,,,1200.0,Square Meters,,No,,,Tend to agree,No,,No,Yes,50,50,0,0,0,0,0,Yes,2500000.0,1500000.0,50.0,,30.0,,0.0,,0.0,,0.0,,20.0,,0.0,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),No,No,Interest rates were not favorable,,,No,50,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,60," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,10,Yes,1.0,No,No,,42,No,No,No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Major obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,9,6,13,12,11,4,8,7,3,15,1,5,14,2,10,Access to finance,9,6,13,12,11,4,8,7,3,15,1,5,14,2,10,8,15,100.0,,,,,,2.0,4,2,2,No,,,,,,,Yes,Dismissals were immediate,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,Minor obstacle,Moderate obstacle,Don't know (spontaneous),30000.0,0,,,0,5820000.0,1200000.0,,11000000.0,,10,8,3,2025,18,25,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,7,Face to face only,No,No,City with population over 1 million,4730,North West,Large (100 or more),Other Services,Panel,1.0,1.0,1.0,106
1594058,2583,Other Manufacturing,Small,North Central,Establishment,Other services,North Central,8,No,Panel,English,15,3,2025,15,45,2024,12,31,93,Interviewer32,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2010,5,2011,10,Yes,No,,No,,,,Yes,3.0,12.0,45.0,No Losses,,Yes,40.0,No,,No,,,,It is suitable for all operational needs,No,,,Yes,No,,No,There is only one available internet provider,Hotel,100,20000000.0,Twenty million,13000000.0,Thirteen million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly agree,Strongly agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,Yes,No,Yes,No,,,No,,No,,20.0,240.0,Square Meters,,,,,No,,,Strongly agree,No,,No,No,80,20,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,40," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,1,Yes,1.0,No,No,,36,"Yes, partially","Yes, partially",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,Yes,15.0,No,Major obstacle,Moderate obstacle,Major obstacle,Major obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,11,7,12,4,3,15,9,13,10,6,2,1,14,5,8,"Crime, theft and disorder",11,7,12,4,3,15,9,13,10,6,2,1,14,5,8,5,4,4.0,,,,,,2.0,0,3,2,No,,,,,,,No,,,2,1,1.0,6.0,No,,,No,,Minor obstacle,Minor obstacle,550,20000.0,25,Cubic meters,,25,2900000.0,60000.0,,,,Don't know (spontaneous),15,3,2025,16,40,Somewhat truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,6,Face to face only,No,No,Over 250.000 to 1 million,5510,North Central,Small (5-19),Other Manufacturing,Panel,194.17282,205.50917,158.34166,8
1594059,2604,Other Services,Medium,South West,Establishment,Other services,South West,22,No,Panel,English,11,4,2025,9,49,2024,12,31,93,Interviewer30,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,2000,15,2013,35,No,No,,No,,,,Yes,4.0,5.0,One minute or less,,4100000.0,Yes,40.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,No,With no difficulty at all,Hotel,70,200100000.0,Two hundred million one hundred thousand,360000000.0,Three hundred and sixty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Strongly agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,No,,,,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,No,No,No,No,,,No,,No,,42.0,45.0,Square Meters,,,,,No,,,Strongly agree,No,,No,No,70,30,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,No,60,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,3.0,No,No,,One hour or less,"Yes, fully","Yes, fully",No refund systems exists,,,No,,No,,Don't know (spontaneous),,No,,,No,,,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Minor obstacle,Major obstacle,Minor obstacle,3,8,2,12,7,1,15,10,11,13,4,9,14,5,6,Tax rates,3,8,2,12,7,1,15,10,11,13,4,9,14,5,6,22,22,100.0,,,,,,9.0,19,3,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,Don't know (spontaneous),144000.0,0,,,0,15200000.0,Don't know (spontaneous),,,,Don't know (spontaneous),11,4,2025,11,4,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,5510,South West,Medium (20-99),Other Services,Panel,233.20186,242.08551,239.65083,194
