idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,d38x,d39,d14a,d14b,d40a,d40b,d41,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,l31,l32,l33,l34,l35,l36,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,b1_RWA
1188647,2833,1,3,3,1,0,1,1,10,1,3,106,2,0,1,18,9,2023,14,12,2022,12,31,33,Int3RWA,,,,,,2,,2,100,0,0,0,-9,,2008,30,2006,12,2,1,ISO 22000- RFA 2018,2,,,,119776,1,6.0,7.0,0.0,2.0,,1,-9.0,2,,,,550,1.0,,2,,,,,1,1,14.0,1280000.0,1,5.0,,0.0,,3,2,1,,,,,100,4780000000.0,four billion seven hundred and eighty million,1500000000.0,one billion five hundred million,2630000000.0,two billion six hundred and thirty million,100,0,0,,,,,,,,,,,,2008.0,100,0,,,,,,,,,1,1,2,,4,4,-7.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,2,20,,-9.0,1,1,1,2,2,,1,2,,,,1,from now  our clients can make their order via internet,Before our clients  use to come on market and we discussed  about the price. Nowadays we are using internet,2,,85.0,2,,,2,,,,,,2,1,2000000.0,1,1,75,20,0,5,0,1,86200000.0,125800000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,,,1,1,1,1.0,2022.0,2000000000.0,1.0,1.0,1.0,2.0,2.0,2.0,1900000000.0,1.0,300000000.0,2,4,1.0,,,,1,1,5.0,0.0,0.0,275069.0,5,5.0,1.0,3,4,27,1,1.0,1.0,1.0,1.0,1,35.0,,1,1,1,50.0,,2,,2,,0.0,,1,30.0,2.0,2,,,2,2,2,3,4,1,1,2,3,7,1,6,5,4,106,86,86.0,20.0,21,55,10,86.0,20.0,,100.0,,1,97.0,,15.0,,80.0,,3,3.0,,2,,,215,215,25.0,6.0,2,,,1,1.0,1,1,8,2,11,14,9,12,5,4,1,8,13,15,6,7,10,3,395920467.0,37386300.0,155705775,18000000,3578500,2568000000.0,,359920467.0,454000400.0,8000000000.0,50,10,18,9,2023,17,34,1,1,2,3.0,27.0,1,2,2,3,1079,3,3,1,0,1.5982682,1.7796057,1.9425845,44,2
1188648,2849,1,1,3,1,0,0,1,16,1,3,17,2,0,1,11,8,2023,13,21,2022,12,31,33,Int20RWA,,,,,,4,,2,100,0,0,0,1,15.0,2015,4,2018,20,2,2,,1,25.0,2.0,360000.0,930,1,3.0,2.0,0.0,3.0,,1,3.0,2,,,,10,1.0,,2,,,,,2,2,,,2,,,,,-9,3,1,,,,,75,67000000.0,sixty-seven million,21600000.0,twenty-one million six hundred thousand,30000000.0,thirty million,100,0,0,,,,,,,,,,,,,85,15,1.0,"Congo, Dem. Rep. of the",2.0,55.0,,60.0,,8.0,3,4,1,1.0,1,3,,,,,,,,,,,,2,-4,,20.0,2,1,1,1,2,,3,1,1.0,"They are making in three years ago, the cushioned chairs for dining room",There is difference for the cushioned chairs and the chairs without seat cushions,1,This factory has a big store where customers come to see what he gave them to do for him without going back to the factory,They take finished products from the factory and take them to their warehouses where customers can find them,2,,75.0,1,20.0,-9.0,1,15.0,8.0,,,,2,1,1200000.0,2,2,75,0,19,6,0,2,,,,,,,,,,,,,,,1.0,11000000.0,5000000.0,1,2,1,2.0,2022.0,14000000.0,1.0,2.0,1.0,1.0,2.0,2.0,30000000.0,1.0,8600000.0,2,1,,2.0,3.0,22.0,2,55,5.0,1.0,1.0,4000.0,60,5.0,1.0,2,3,2,1,1.0,1.0,1.0,-9.0,2,,42.0,1,1,2,,3.0,1,3.0,1,45.0,5.0,,1,15.0,1.0,2,,,3,2,2,4,4,3,4,2,5,3,6,7,1,4,14,10,9.0,5.0,9,0,0,0.0,2.0,,,10.0,1,,4.0,,0.0,,0.0,4,3.0,6.0,1,1.0,0.0,17,3,0.0,3.0,1,2.0,600000.0,2,,3,2,5,8,7,1,9,2,11,12,5,3,15,14,13,4,6,10,18800000.0,71000.0,3016000,15000,0,100000.0,,8600000.0,30000.0,51000000.0,12,8,11,8,2023,14,59,1,1,1,,,2,2,2,3,1629,3,1,1,0,11.266685,12.853849,15.826167,34,4
1188649,2851,1,2,3,1,1,1,1,23,1,3,30,2,0,1,7,9,2023,12,36,2022,12,31,33,Int13RWA,,,,,,3,,1,100,0,0,0,2,,2019,15,2020,4,2,2,,2,,,,16,1,4.0,3.0,0.0,0.0,,2,,2,,,,5,1.0,,1,5.0,3.0,0.0,,2,2,,,-7,,,,,-9,0,1,,,,,100,80000000.0,eighty million,56000000.0,fifty-six million,20000000.0,twenty million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,1,1,2,,3,3,2.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,,4.0,3.0,1,23,2.0,,2,2,1,2,2,,0,1,2.0,tiles production,after the needs of our clients we added in our products tiles production and have added our revenue.,1,delivering,we have a truck for bricks and tiles transportation to our clients with a low cost.,2,,75.0,1,30.0,2.0,2,,,,,,3,2,,2,2,60,40,0,0,0,2,,,,,,,,,,,,,,,1.0,0.0,3000000.0,1,2,1,1.0,2021.0,8000000.0,1.0,2.0,2.0,2.0,1.0,2.0,30000000.0,1.0,4200000.0,2,4,6.0,,,,2,40,5.0,0.0,0.0,36000.0,40,5.0,0.0,3,3,2,1,4.0,2.0,1.0,1.0,1,36.0,,1,1,-7,,,1,2.0,1,30.0,0.0,,2,,,1,60.0,2.0,3,2,2,0,0,0,1,4,2,5,7,3,6,1,30,10,28.0,2.0,25,2,1,2.0,1.0,,10.0,,2,,,,,,,5,5.0,,1,1.0,0.0,16,8,1.0,4.0,2,,,2,,0,0,14,8,2,1,11,3,13,14,4,12,15,7,5,6,10,9,32000000.0,1200000.0,24000,26000,0,13000000.0,,24000000.0,11600000.0,45000000.0,3,3,7,9,2023,14,28,2,4,1,,,2,2,2,3,2392,3,2,1,0,1.9440215,2.1958804,2.699439,40,3
1188650,2854,3,1,3,1,1,0,1,56,3,3,6,2,0,1,22,1,2024,11,18,2023,12,31,33,Int21RWA,,,,,,3,,1,100,0,0,0,2,,2021,3,2022,8,2,2,,2,,,,100,1,5.0,0.0,20.0,10.0,,2,,2,,,,50,1.0,,2,,,,,2,2,,,2,,,,,2,3,52,,,,,60,6832695.0,six million eight hundred and thirty-two thousand six hundred and ninety-five,,,-7.0,,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,3,0,2,,3,3,,,,,,,,,,,,1,3,2.0,,2,2,2,2,2,,1,2,,,,2,,,2,,,2,,,2,,,,,,1,2,,2,2,60,0,10,20,10,2,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,1,4,4.0,,,,2,70,1.0,0.0,10.0,23000.0,60,1.0,10.0,3,4,30,2,,,,,3,,1.0,1,1,2,,3.0,2,,2,,1.0,,2,,,1,7.0,2.0,1,1,1,1,0,0,1,7,3,4,5,6,1,2,6,-7,,,2,2,2,,,3.0,50.0,,1,,,,,25.0,,0,,,1,1.0,0.0,6,1,0.0,1.0,1,1.0,0.0,2,,1,1,1,12,3,8,5,14,10,11,2,13,9,4,7,6,15,1,-9.0,,1320000,300000,100000,,,,,,10,30,22,1,2024,12,22,2,2,1,,,3,2,2,3,5630,3,1,3,0,12.808496,14.247824,17.146276,38,3
1188651,2864,1,2,3,1,0,1,1,11,1,3,69,2,0,1,20,9,2023,10,3,2022,12,31,33,Int13RWA,,,,,,3,,1,100,0,0,0,2,,2014,10,2014,9,2,2,,1,60.0,2.0,100000.0,3311,1,3.0,0.0,25.0,0.0,,2,,2,,,,3081,1.0,,2,,,,,2,2,,,1,2.0,,0.0,,4,2,1,,,,,100,500288880.0,five hundred million two hundred and eighty-eight thousand eight hundred and eighty,380000000.0,three hundred and eighty million,248000000.0,two hundred and forty-eight million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,4,3,2,,4,4,3.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,,1.0,3.0,1,-4,,60.0,2,1,1,2,2,,4,1,1.0,new wine,we have introduced a new wine which is different to others is that is produced based on banana only.,1,selling point,we have opened a selling point at Huye town for helping our clients to access our products without coming at our plant,2,,70.0,1,30.0,2.0,2,,,,,,3,2,,2,1,60,40,0,0,0,1,36000000.0,0.0,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,2.0,,,1,2,1,1.0,2021.0,100000000.0,1.0,1.0,1.0,2.0,2.0,2.0,650000000.0,1.0,75000000.0,2,4,6.0,,,,1,60,5.0,0.0,0.0,52000.0,70,1.0,0.0,3,4,12,1,3.0,2.0,1.0,1.0,3,76.0,,1,1,2,,4.0,2,,2,,0.0,,1,15.0,2.0,1,60.0,2.0,4,0,3,0,0,0,1,3,7,5,6,4,1,2,47,41,37.0,10.0,16,18,3,19.0,5.0,,70.0,,1,100.0,,100.0,,,24.0,5,5.0,,2,,,22,22,14.0,2.0,2,,,1,2.0,0,0,12,12,11,1,10,9,2,8,13,4,6,15,3,14,5,7,72452000.0,3360000.0,9680000,943200,211200,320000000.0,,65340000.0,183700000.0,900000000.0,30,8,20,9,2023,12,6,2,4,2,2.0,3.0,2,2,2,3,1102,3,2,1,0,1.9440215,2.1958804,2.699439,40,3
1188652,2877,2,1,3,1,1,1,1,47,2,3,12,2,0,1,24,8,2023,11,40,2022,12,31,33,Int15RWA,,,,,,4,,1,100,0,0,0,2,,2016,6,2016,8,2,2,,2,,,,1200,1,4.0,0.0,15.0,,1500000.0,1,10.0,2,,,,120,1.0,,1,3.0,24.0,,600000.0,2,2,,,-7,,,,,-9,1,2,,,,,50,180000000.0,one hundred and eighty million,,,80000000.0,eighty million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,1,-7,2,,-7,-7,,,,,,,,,,,,1,-4,2.0,,2,2,1,2,-9,,-7,1,2.0,Delivering products to our customers and extending our area,Before our customers should find our products only at our site.,1,Delivering of our products to the customers.,Before they hadn't enough vehicles for delivering,1,600000.0,,2,,,-7,,,56.0,3.0,,-9,2,,2,2,60,30,0,10,0,1,0.0,22000000.0,50.0,,0.0,,50.0,,0.0,,0.0,,0.0,,,,,1,2,4,,,,,,,,,,,,,2,4,2.0,,,,2,90,1.0,-9.0,-9.0,-9.0,95,1.0,-9.0,1,-7,1,1,4.0,2.0,1.0,2.0,1,48.0,,1,1,-7,,,2,,2,,0.0,,2,,,2,,,1,1,0,-7,-7,-7,1,1,4,7,2,6,3,5,13,10,,,5,4,4,,,5.0,,10.0,1,,,,,,2.0,0,,,1,2.0,0.0,0,0,,,2,,,1,2.0,1,0,14,11,4,15,12,3,14,1,13,6,8,5,2,9,10,7,2500000.0,1500000.0,7500000,3500000,-9,,115000000.0,,,,1,-9,24,8,2023,14,21,2,2,1,,,2,2,2,3,4711,3,1,2,0,1.7056992,2.0367002,2.6523387,36,4
1188653,2885,1,2,3,1,0,1,1,23,1,3,40,2,0,1,7,9,2023,9,38,2022,12,31,33,Int13RWA,,,,,,3,,1,100,0,0,0,2,,2013,25,2018,11,2,2,,2,,,,20,1,4.0,4.0,20.0,0.0,,2,,2,,,,30,1.0,,1,8.0,5.0,0.0,,2,2,,,-7,,,,,-9,0,1,,,,,100,200000000.0,two hundred million,180000000.0,one hundred and eighty million,60000000.0,sixty million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,3,0,2,,4,4,3.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,2,-4,,60.0,2,2,1,2,2,,0,1,2.0,bricks quality upgrading,before we made a combination of soil and argillaceous so now we use only argillaceous in bricks fabrication,1,delivering,we have a truck for transportation of bricks to our clients and we add a lower cost when you compare to other truck transportation price.,2,,50.0,2,,,2,,,,,,3,1,3000000.0,2,1,100,0,0,0,0,2,,,,,,,,,,,,,,,2.0,,,1,2,4,,,,,,,,,,,,,2,4,1.0,,,,2,70,5.0,0.0,0.0,15000.0,10,5.0,0.0,3,3,2,1,2.0,2.0,1.0,1.0,1,38.0,,1,1,-7,,,2,,1,15.0,0.0,,2,,,1,60.0,2.0,1,0,1,0,0,0,0,7,3,6,5,2,4,1,40,23,37.0,3.0,27,4,6,4.0,1.0,,10.0,,2,,,,,,,0,,,2,,,10,15,8.0,4.0,2,,,2,,0,0,1,9,1,13,11,2,12,4,10,3,7,14,8,15,5,6,24000000.0,0.0,48000,78000,0,80000000.0,,22500000.0,76000000.0,55000000.0,3,3,7,9,2023,11,20,2,4,1,,,2,2,2,3,2392,3,2,1,0,1.9440215,2.1958804,2.699439,40,3
1188654,2904,1,2,3,1,1,0,1,11,1,3,30,2,0,1,12,9,2023,8,38,2022,12,31,33,Int13RWA,,,,,,3,,1,100,0,0,0,2,,2012,2,2018,11,2,2,,2,,,,330,1,4.0,4.0,0.0,5.0,,2,,2,,,,35,1.0,,1,10.0,6.0,12.0,,2,2,,,-7,,,,,-9,2,1,,,,,100,49740000.0,forty-nine million seven hundred and forty thousand,37496000.0,thirty-seven million four hundred and ninety-six thousand,6810000.0,six million eight hundred and ten thousand,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,4,0,2,,4,4,3.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,,1.0,3.0,1,10,2.0,,2,1,1,2,2,,4,1,2.0,banana juice production,after assessment we have conduct about the market we have found that it is better to introduce the production of juice cause on the market they are a lot number of consumers that don't use alcohol so we begun to provide to them a banana juice.,1,using  of  cane package,we are introducing new kind of packaging with Cane for accessing our clients who want to take beverage to they home without bottle returning.,1,269000.0,70.0,2,,,2,,,,,,3,1,6000000.0,2,2,30,50,20,0,0,2,,,,,,,,,,,,,,,1.0,20000000.0,0.0,1,2,1,1.0,2021.0,20000000.0,1.0,2.0,2.0,2.0,1.0,2.0,60000000.0,1.0,14000000.0,1,4,6.0,,,,2,60,1.0,0.0,0.0,32000.0,60,1.0,0.0,4,4,4,1,1.0,2.0,1.0,5.0,1,,48.0,1,1,1,12.0,,2,,2,,0.0,,2,,,1,360.0,2.0,4,1,3,0,0,0,2,1,7,3,5,6,2,4,30,8,22.0,8.0,6,5,11,10.0,2.0,,,4.0,1,,22.0,,8.0,,10.0,4,4.0,,2,,,15,0,,,2,,,1,2.0,2,1,1,3,1,13,6,10,14,5,4,11,8,12,7,15,2,9,8756000.0,296000.0,1040000,360000,264000,21750000.0,,4930000.0,12700000.0,200000000.0,21,3,12,9,2023,10,32,2,4,1,,,2,2,2,3,1102,3,2,1,0,1.9440215,2.1958804,2.699439,40,3
1188655,2920,3,1,3,1,1,1,1,56,3,3,19,2,0,1,22,1,2024,17,14,2023,12,31,33,Int21RWA,,,,,,3,,1,100,0,0,0,2,,2013,13,2015,8,2,2,,2,,,,100,1,12.0,6.0,10.0,20.0,,2,,2,,,,58,1.0,,1,11.0,24.0,20.0,,2,2,,,2,,,,,2,2,52,,,,,60,11623450.0,eleven million six hundred and twenty-three thousand four hundred and fifty,,,9354680.0,nine million three hundred and fifty-four thousand six hundred and eighty,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,1,0,2,,4,4,,,,,,,,,,,,1,6,3.0,,2,2,2,2,2,,1,1,1.0,Grilled meats,"We had fried meat only but on acquiring an oven, the meat is grilled to perfection",2,,,2,,,2,,,2,,,,,,1,2,,2,2,50,35,0,10,5,2,,,,,,,,,,,,,,,,,,1,2,1,1.0,2022.0,3000000.0,1.0,1.0,2.0,2.0,1.0,2.0,7500000.0,1.0,0.0,1,1,,1.0,46500.0,3.0,2,80,1.0,0.0,9.0,0.0,100,1.0,3.0,0,4,30,2,,,,,3,-9.0,,3,1,-6,,,2,,2,,0.0,,2,,,2,,,1,0,0,0,0,0,1,1,3,6,4,2,7,5,19,16,,,3,7,9,,,9.0,,7.0,2,,,,,,,2,1.0,1.0,2,,,19,0,,,2,,,2,,0,0,14,4,1,6,14,2,7,15,13,11,12,9,10,3,8,5,6528000.0,-9.0,70000,35258,10000,,,,,,-9,20,22,1,2024,18,32,2,2,1,,,3,2,2,3,5610,3,1,3,0,12.808496,14.247824,17.146276,38,3
1188656,2924,3,2,3,1,1,0,1,56,3,3,20,2,0,1,1,9,2023,15,44,2022,12,31,33,Int13RWA,,,,,,3,,1,100,0,0,0,2,,2002,25,2005,12,2,2,,2,,,,960,1,4.0,2.0,0.0,15.0,,1,10.0,2,,,,5200,1.0,,1,4.0,5.0,1.0,,2,2,,,-7,,,,,-9,2,52,,,,,100,58000000.0,fifty-eight million,,,12000000.0,twelve million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,0,0,2,,4,4,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,,4.0,3.0,1,-9,2.0,,2,2,1,2,2,,0,1,2.0,outside catering,we provide to our clients that have parties or other celebrations resto and drinks service at their place.,1,Live music,in weekend we invite one of our local musician and celebrate with our clients from Friday night to Saturday.,2,,,2,,,2,,,,,,2,2,,2,1,100,0,0,0,0,2,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,2,4,4.0,,,,2,55,5.0,0.0,0.0,25000.0,80,1.0,0.0,2,3,4,1,4.0,2.0,1.0,2.0,3,,48.0,1,1,-7,,,2,,2,,0.0,,2,,,1,2.0,2.0,2,0,0,0,0,0,2,5,3,7,2,6,1,4,20,8,,,6,10,4,,,12.0,30.0,,1,,,,,40.0,,0,,,1,4.0,0.0,0,0,,,1,1.0,0.0,2,,0,0,2,10,12,9,7,5,11,4,13,8,6,14,3,15,1,2,12000000.0,1600000.0,3600000,1800000,120000,,,,,,30,3,1,9,2023,17,53,2,4,1,,,2,2,2,3,5610,3,2,3,0,1.8947839,2.0867996,2.5074034,42,3
1188657,2934,3,2,3,1,1,1,1,56,3,3,22,2,0,1,5,9,2023,12,9,2022,12,31,33,Int13RWA,,,,,,3,,1,100,0,0,0,2,,2007,3,2018,16,2,2,,2,,,,470,1,6.0,2.0,0.0,2.0,,2,,2,,,,138,1.0,,1,2.0,2.0,5.0,,1,1,-5.0,180000.0,-7,,,,,3,4,52,,,,,100,65400000.0,sixty-five million four hundred thousand,,,20000000.0,twenty million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,2,0,2,,4,4,2.0,1.0,1.0,1.0,2.0,6.0,3.0,2.0,,1.0,1.0,1,6,2.0,,2,1,1,1,2,,4,1,2.0,morning breakfast,before we cooked for clients who need lunch so now you can take even dinner in our RESTAURANT from six am to midnight.,1,Coffee shop,for the needs our clients we have introduced a coffee shop for making it available.,2,,,2,,,2,,,,,,4,2,,2,1,60,0,40,0,0,1,600000.0,0.0,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,,,,1,2,1,3.0,2023.0,9000000.0,1.0,2.0,2.0,2.0,2.0,1.0,12000000.0,1.0,8300000.0,2,1,,1.0,180000.0,15.0,2,80,5.0,0.0,0.0,120000.0,60,5.0,0.0,2,3,5,1,12.0,2.0,1.0,1.0,1,60.0,,1,1,2,,3.0,2,,2,,0.0,,2,,,1,3.0,2.0,3,1,1,0,0,0,0,5,4,2,6,1,7,3,22,8,,,12,8,2,,,11.0,100.0,,1,,,,,,8.0,3,3.0,,1,4.0,0.0,0,0,,,2,,,2,,0,0,1,5,11,9,1,2,7,12,15,13,4,14,3,8,10,6,10800000.0,2160000.0,1298952,1236000,480000,,,,,,21,3,5,9,2023,13,49,1,1,1,,,2,2,2,3,5610,3,2,3,0,1.8947839,2.0867996,2.5074034,42,3
1188658,2939,2,1,3,1,0,1,1,47,2,3,34,1,0,1,6,7,2023,8,36,2022,12,31,33,Int13RWA,2.0,1.0,1.0,1.0,,3,,1,100,0,0,0,1,100.0,2008,8,2013,15,1,2,,2,,,,1750,1,2.0,0.0,40.0,20.0,,1,5.0,2,,,,100,1.0,,2,,,,,2,2,,,1,2.0,,5.0,,3,4,2,,,,,100,230000000.0,two hundred and thirty million,,,80000000.0,eighty million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,3,2,2,,4,4,4.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,,2.0,2.0,2,-4,,70.0,2,2,1,2,2,,0,1,1.0,We add the business of iscream,new open,1,Delivery the products to our customers,It helped us delivering,2,,,2,,,2,,,150.0,3.0,,3,2,,2,1,60,40,0,0,0,2,,,,,,,,,,,,,,,,,,1,2,1,1.0,2020.0,50000000.0,1.0,2.0,2.0,2.0,1.0,2.0,110000000.0,1.0,26000000.0,1,4,2.0,,,,2,60,5.0,0.0,0.0,1.0,60,5.0,0.0,3,4,12,1,12.0,2.0,1.0,1.0,2,72.0,,1,1,-6,,,2,,2,,0.0,,2,,,2,,,2,2,0,0,0,0,3,4,3,5,1,6,7,2,34,10,,,16,12,6,,,7.0,,11.0,2,,,,,,,7,7.0,,1,6.0,6.0,0,0,,,1,1.0,100000.0,1,2.0,3,0,1,4,5,7,14,12,2,11,10,13,15,9,1,8,6,3,1300000.0,300000.0,6000000,960000,216000,,150000000.0,,,,18,3,6,7,2023,11,5,1,1,1,,,2,2,2,3,4711,3,1,2,0,1.7056992,2.0367002,2.6523387,36,3
1188659,2940,1,2,3,1,1,0,1,23,1,3,40,2,0,1,6,9,2023,10,34,2022,12,31,33,Int13RWA,,,,,,4,,1,100,0,0,0,1,40.0,2019,15,2019,6,2,2,,2,,,,160,1,4.0,3.0,0.0,2.0,,2,,1,5.0,2.0,56000.0,36,1.0,,1,6.0,4.0,20.0,,2,2,,,-7,,,,,-9,3,1,,,,,100,182000000.0,one hundred and eighty-two million,168000000.0,one hundred and sixty-eight million,30000000.0,thirty million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,2,0,1,2.0,4,4,3.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,,4.0,3.0,1,5,3.0,,2,1,1,2,2,,3,1,1.0,paving stones,before we fabricate paving materials in cement so now we have introduced paving stones.,1,paving machine,we have bought a machine that we use for paving materials fabrication. this machine has helped us in reducing man power cost,2,,85.0,1,30.0,2.0,2,,,,,,3,2,,2,1,70,30,0,0,0,1,1200000.0,0.0,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,2.0,,,1,2,1,1.0,2021.0,5000000.0,1.0,1.0,1.0,2.0,2.0,2.0,20000000.0,1.0,3500000.0,2,4,6.0,,,,2,60,1.0,0.0,0.0,46000.0,40,5.0,0.0,3,4,4,2,,,,,2,,48.0,1,1,-7,,,1,2.0,1,30.0,0.0,,2,,,2,,,3,1,0,0,0,0,0,1,3,6,5,7,4,2,40,10,35.0,5.0,30,5,0,2.0,1.0,,10.0,,1,70.0,,30.0,,20.0,,2,2.0,,1,2.0,0.0,3,0,,,1,1.0,100000.0,2,,1,0,1,1,9,8,5,7,11,13,14,3,4,12,10,15,6,2,18000000.0,1000000.0,1800000,460000,120000,82000000.0,,16000000.0,78000000.0,120000000.0,30,3,6,9,2023,12,28,2,4,1,,,2,2,2,3,2396,3,2,1,0,1.9440215,2.1958804,2.699439,40,4
1188660,2943,3,1,3,1,1,1,1,56,3,3,11,2,0,1,19,1,2024,16,24,2023,12,31,33,Int21RWA,,,,,,3,,1,100,0,0,0,1,100.0,2017,6,2018,6,1,1,RSB Certificate,2,,,,60,2,,,,,,2,,2,,,,10,1.0,,2,,,,,2,2,,,2,,,,,4,1,6,,,,,70,5205050.0,five million two hundred and five thousand fifty,,,4500210.0,four million five hundred thousand two hundred and ten,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,1,1,2,,3,3,,,,,,,,,,,,1,3,3.0,,2,2,1,2,2,,1,2,,,,2,,,2,,,2,,,2,,,,,,1,2,,2,2,50,50,0,0,0,2,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,2,4,1.0,,,,1,80,1.0,0.0,2.0,21245.0,80,1.0,2.0,1,3,70,1,2.0,2.0,2.0,,3,48.0,,1,1,2,,3.0,2,,2,,0.0,,2,,,2,,,1,1,1,0,0,1,1,3,7,1,5,6,2,4,11,8,,,6,4,1,,,7.0,100.0,,1,,,,,,3.0,0,,,2,,,11,0,,,2,,,1,2.0,0,0,15,8,15,3,13,2,10,11,6,14,12,1,4,9,5,7,3795870.0,1320615.0,120000,79982,0,,,,,,18,10,19,1,2024,19,50,2,4,1,,,3,2,2,3,5630,3,1,3,0,12.808496,14.247824,17.146276,38,3
