idstd,id,preference,rotation,a0,a1,a1a,a2,a3a,a3b,a3c,a3,a4a,a4b,a5,a6a,a6b,a7,a7a,a8a,a9,a10,a11,a12,a13,a14d,a14m,a14y,a14h,a14min,b1,b1x,b3,b2a,b2b,b2c,b2d,ETHb2,ETHb2x,b4,b4a,b5,b6,b6a,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,ETHc1,ETHc2,c12,c13,c14,c15,c16,c17,c22a,c22b,c30a,c30b,d1a1x,d1a2,d1a3,d2,d2x,d3a,d3b,d3c,d4,d5a,d6,d7,d8,d10,d11,d12a,d12b,d13,d14,d15a,d16,d17,ETHd1,ETHd2,ETHd3a,ETHd3b,ETHd3c,ETHd3d,ETHd3e,ETHd4,ETHd5a,ETHd5b,ETHd6,ETHd6a,ETHd7,ETHd8,ETHd9,ETHd9a,ETHd30,d30a,d30b,ETHt30a,ETHt30b,ETHt30c,ETHt30d,e1,e2b,e6,e11,e30,h1,h2,h3,h4a,h4b,h5,h6,h7,h8,f1,f2,ETHg1,ETHg2,ETHg3a,ETHg3b,ETHg3c,ETHg4,ETHg5,ETHg6,g6a,g6b,g6c,g1a,g1b,g1c,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k1c,k2c,k3a,k3bc1,k3bc2,k3e,k3f,k3hd,k4,n5a,n5b,ETHk1a,ETHk1b,k5a,k5i,k5bc1,k5bc2,k5e,k5f,k5hdj,ETHk2,ETHk3a,ETHk3b,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,ETHk4,ETHk5,ETHk6,ETHk7,ETHk8a,ETHk8,ETHk9,k15b,k15c,k15d,k16,k17,k20a1,k21,ETHk10,k30,h7a,j2,j3,j4,j5,ETHj1,ETHj2,ETHj3,ETHj4,ETHj5,ETHj5x,ETHj6,ETHj7,ETHj30a,ETHj30b,ETHj30c,ETHj30d,ETHj30e,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,ETHl2a,ETHl2b,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9a,l9a2,l9b,l10,l11a,l11b,l30a,l30b,m1a,m1d,n2a,n2b,n2e,n2f,n2i,n2p,n3,n6a,n6b,n7a,n7b,ETHn1,ETHn2,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,stratificationregioncode,stratificationsizecode,stratificationsectorcode,panelcode,wstrict,wmedian,wweak,strata
590442,423,7,1,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Wholesale,Chemicals,"No, does not match",Medium,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1012,2001,9,7,2015,16,22,Partnership,,40,100,0,0,0,,,Yes,30.0,2003,15,Yes,2003,10,No,No,,No,,,Yes,10.0,5.0,0.0,0.0,,No,,,Decreased,No,,,No,,,No,No,Minor Obstacle,No Obstacle,Body Vaseline  Manufacturing (Cosmetics),2424,50,14127076.0,   Fourteen Million One Hundred Twenty Seven Thousand and seventy six,100,0,0,,,,,,NO LOSSES,NO LOSS,70.0,30.0,Yes,10.0,No,30.0,,Yes,15.0,15.0,0.0,0.0,0.0,0.0,Private commercial banks,414822.0,414822.0,1.0,,60.0,No,,,Major Obstacle,No Obstacle,Moderate Obstacle,No obstacle,DOES NOT APPLY,No obstacle,Minor obstacle,National - Main product sold mostly across Ethiopia,TOO MANY TO COUNT,No,Yes,Major obstacle,No,,No,No,No,No,No,No,,60.0,48.0,No,,,,,,,,100,0,0,100,0,0,No,,,,,,No Obstacle,Yes,,30000.0,No,,,No Obstacle,0,10,50,50,0,0,0,0,Yes,14000.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,Yes,No,Yes,Private commercial banks,2014.0,8500000.0,Yes,No,No,No,Yes,No,20000000.0,5.0,36.0,No,,-9.0,,,1.0,8500000.0,No,Yes,,Application was approved in full,Yes,Improved,Moderate Obstacle,Tend to disagree,NO TIME WAS SPENT,No,,,Yes,Yes,No,Yes,,,,,Tend to agree,Tend to agree,DONT KNOW,Tend to agree,Tend to agree,No,,NO PAYMENTS,,No,,,No,,,Minor Obstacle,Minor Obstacle,No Obstacle,No Obstacle,No Obstacle,Do Not Know,45,32,30,30,25.0,20.0,25.0,0.0,0.0,12.0,7.0,,15,10.0,3.0,10.0,10.0,100,No,,,No Obstacle,No Obstacle,1,1,1856034,124000,10416865.0,DONT KNOW (SPONTANEOUS),,10416865.0,14666726,4448601.0,10553413.0,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),No,,,10,Male,,,,,,,9,7,2015,17,16,Truthful,Are taken directly from establishment records,Several visits,1.0,2.0,1,2,7,1,18.39,20.13,32.55,28.0
590443,424,21,2,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Wholesale,Wholesale,"Yes, screener and sample frame info match",Medium,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1003,2001,23,6,2015,14,21,Limited partnership,,70,100,0,0,0,,,Yes,85.0,2005,3,Yes,2005,13,Yes,No,,No,,,Yes,8.0,3.0,0.0,7.0,,No,,,Increased,No,,,,,,Yes,Yes,Moderate Obstacle,Moderate Obstacle, Power Generator Distributer,5159,25,3626458.0,   Three Million Six Hundred and Twenty Six Thousand Four hundred and fifty eight,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,Yes,10.0,10.0,0.0,0.0,0.0,0.0,Private commercial banks,476795.0,476795.0,30.0,,30.0,No,,,Very Severe Obstacle,Moderate Obstacle,Moderate Obstacle,Moderate  obstacle,DOES NOT APPLY,Minor obstacle,No obstacle,,,,No,DOES NOT APPLY (SPONTANEOUS),Yes,Yes,Yes,No,No,No,No,Yes,NONE (SPONTANEOUS),,,No,,,,,,,,90,10,0,0,100,0,No,,,,,,No Obstacle,Yes,,20400.0,No,,,No Obstacle,0,90,80,20,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,Yes,,Application was withdrawn,Yes,Worsened,Moderate Obstacle,DOES NOT APPLY,25,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,Moderate Obstacle,Moderate Obstacle,Major Obstacle,No Obstacle,Moderate Obstacle,No Obstacle,7,5,4,3,,,,,,,,-9.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,83,No,,,No Obstacle,No Obstacle,8,2,97650,3978,,,,,7377143,,,,,No,,,5,Male,,,,,,,23,6,2015,15,19,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,2,7,1,18.39,20.13,32.55,28.0
590444,425,16,2,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Wholesale,Plastics & rubber,"No, does not match",Medium,Large,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1003,2002,29,6,2015,11,8,Limited partnership,,50,50,Don't Know,Don't Know,Don't Know,DONT KNOW (SPONTANEOUS),,Yes,30.0,2004,200,Yes,2004,11,No,No,,No,,,Yes,7.0,4.0,0.0,5.0,,Yes,10.0,REFUSAL (SPONTANEOUS),Decreased,No,,,No,,,Yes,Yes,Moderate Obstacle,Very Severe Obstacle,Different Plastic Products  Manufacturing,2520,70,360400600.0,   Three Hundred and Sixty  Million four hundred thousa nd and six hundred,100,0,0,,,,,,NO LOSSES,NO LOSS,25.0,75.0,Yes,40.0,Yes,90.0,,Yes,5.0,5.0,0.0,0.0,0.0,0.0,State-owned banks or government agency,-9.0,-8.0,-9.0,,25.0,Yes,REFUSAL (SPONTANEOUS),,Minor obstacle,No Obstacle,Moderate Obstacle,No obstacle,DOES NOT APPLY,Moderate  obstacle,No obstacle,National - Main product sold mostly across Ethiopia,10.0,No,No,Minor obstacle,Yes,No,Yes,No,Yes,Yes,Yes,Yes,385000.0,50.0,48.0,No,,,,,,,,100,0,0,0,100,0,Yes,30.0,Yes,,,,Minor Obstacle,Yes,,215000.0,No,,,No Obstacle,0,7,70,30,0,0,0,0,Yes,1227700.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,1427000.0,0.0,Yes,No,Yes,Private commercial banks,2014.0,40000000.0,Yes,No,No,No,No,Yes,DON'T KNOW,12.0,30.0,No,,No,,,1.0,6312580.0,No,Yes,,Application was approved in full,Yes,Improved,Minor Obstacle,Strongly disagree,3,Yes,6.0,No,No,,,,,,,,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,No,,REFUSAL (SPONTANEOUS),,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,492,400,402,200,400.0,92.0,300.0,52.0,48.0,72.0,20.0,,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,10.0,9.0,55,Yes,40.0,16.0,Does Not Apply,Does Not Apply,8,2,7267500,2721489,279362110.0,1360637.0,,290711736.0,342147537,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),No,,,7,Male,,,,,,,29,6,2015,12,53,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,2,7,1,18.39,20.13,32.55,28.0
590445,427,5,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Wholesale,Wholesale,"Yes, screener and sample frame info match",Medium,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1003,2001,3,7,2015,9,30,Sole proprietorship,,100,100,0,0,0,,,No,,1995,5,Yes,1995,19,No,No,,No,,,Yes,5.0,1.0,0.0,0.0,,No,,,Decreased,No,,,,,,Yes,No,No Obstacle,Minor Obstacle, Wholesale of Ironmonger,5142,100,22754776.0,   Twenty Two Million Seven Hundred Fifty Four thousand seven hundred and seventy six,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,Yes,4.0,4.0,0.0,0.0,0.0,0.0,Private commercial banks,3000000.0,3000000.0,0.0,,15.0,No,,,Very Severe Obstacle,No Obstacle,Moderate Obstacle,No obstacle,DOES NOT APPLY,No obstacle,DOES NOT APPLY,,,,No,DOES NOT APPLY (SPONTANEOUS),No,,No,No,No,No,No,No,,,,No,,,,,,,,100,0,0,0,100,0,Yes,DONT KNOW (SPONTANEOUS),Yes,,,,No Obstacle,Yes,,12000.0,No,,,Does Not Apply,0,50,0,100,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,Yes,Yes,Private commercial banks,2014.0,6500000.0,Yes,Yes,No,No,No,No,20000000.0,2.0,36.0,No,,Yes,2.0,36.0,2.0,15000000.0,No,Yes,,Application was approved in full,Yes,No change,Minor Obstacle,Tend to disagree,NO TIME WAS SPENT,Yes,Times inspected or met with tax officials,No,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,6,3,3,3,,,,,,,,-9.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,65,No,,,No Obstacle,No Obstacle,1,1,37200,6000,,,,,21517754,,,,,Yes,100000.0,,19,Male,,5.0,Female,,,,3,7,2015,10,26,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,2,7,1,18.39,20.13,32.55,28.0
590446,428,26,1,Retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Wholesale,Services of motor vehicles,"No, does not match",Medium,Large,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1001,2001,1,7,2015,13,58,Shareholding company with non-traded shares or shares traded,,90,100,0,0,0,,,Yes,7.0,1972,DON'T KNOW,Yes,1972,30,No,No,,Yes,DONT KNOW (SPONTANEOUS),No,Yes,3.0,3.0,0.0,0.0,,Yes,DON'T KNOW,DONT KNOW (SPONTANEOUS),Decreased,No,,,,,,Yes,Yes,Minor Obstacle,Major Obstacle,Motor Vehicles Sales And Maintenance,5030,100,450000000.0,   Four Hundred and  Fifty Million,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,365.0,No,,,,,,,,,,,,,,,,Major Obstacle,Minor Obstacle,Major Obstacle,Major obstacle,DOES NOT APPLY,Major obstacle,Minor obstacle,,,,No,Minor obstacle,Yes,No,No,No,No,No,No,No,,,,Yes,2.0,0.0,1.0,1.0,,,,100,0,0,100,0,0,Yes,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),19600.0,Square Yards,,Major Obstacle,No,,,No,,,No Obstacle,0,15,100,0,0,0,0,0,No,,,,,,,,,,,,Yes,-9.0,-9.0,Yes,Yes,Yes,Private commercial banks,2013.0,DONT KNOW (SPONTANEOUS),Yes,Yes,Yes,Yes,No,No,DON'T KNOW,2.0,6.0,No,,-9.0,,,DON'T KNOW,,No,No,No need for a loan - establishment had sufficient capital,,Yes,DONT KNOW (SPONTANEOUS),Minor Obstacle,Tend to disagree,NO TIME WAS SPENT,Yes,3.0,DONT KNOW (SPONTANEOUS),Yes,Yes,No,Yes,,,,,Tend to disagree,Tend to disagree,Tend to disagree,Strongly disagree,Tend to agree,Yes,NO PAYMENTS OR GIFTS ARE PAID,NO PAYMENTS,,No,,,No,,,Major Obstacle,Minor Obstacle,Minor Obstacle,Minor Obstacle,Minor Obstacle,No Obstacle,230,225,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),,,,,,,,DON'T KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),,,,,DONT KNOW (SPONTANEOUS),No,,,No Obstacle,No Obstacle,14,1,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),,,-9.0,,425000000,,,,,Yes,7000000.0,,8,Male,,,,,,,1,7,2015,14,57,Somewhat truthful,Are estimates computed with some precision,Several visits,1.0,1.0,1,2,7,1,18.39,20.13,32.55,28.0
590447,430,23,2,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Hotel and restaurants: section H,Hotel and restaurants: section H,"Yes, screener and sample frame info match",Medium,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1009,2001,7,7,2015,13,27,Sole proprietorship,,100,100,0,0,0,,,No,,2011,35,Yes,2011,5,Yes,No,,No,,,Yes,5.0,12.0,1.0,,8000.0,Yes,10.0,DONT KNOW (SPONTANEOUS),Decreased,Yes,3.0,No,,,,Yes,Yes,Moderate Obstacle,Very Severe Obstacle, Room Sell,5510,70,2200000.0,   Two Million Two Hundred Thousand,85,0,15,,,,,DONT KNOW (SPONTANEOUS),NO INTERNAL SHIPMENTS (DOES NOT APPLY),,,,,,,,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,Minor Obstacle,No Obstacle,No obstacle,DOES NOT APPLY,No obstacle,DOES NOT APPLY,,,,No,Very Severe Obstacle,No,,No,No,No,Yes,Yes,No,,,,Yes,10.0,0.0,10.0,0.0,,,,100,0,0,100,0,0,No,,,,,,Very Severe Obstacle,Yes,,72000.0,No,,,Does Not Apply,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,Yes,3000000.0,45000000.0,Yes,No,No,,,,,,,,,,,,,,,,,,,,Yes,No,Interest rates were not favorable,,Yes,Improved,No Obstacle,DOES NOT APPLY,60,Yes,Times inspected or met with tax officials,No,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,Does Not Apply,35,35,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,,,,,,,,-9.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,70,No,,,No Obstacle,No Obstacle,15,2,600000,30000,,,,,900000,,,,,Yes,30000.0,,3,Female,,3.0,Female,,,,7,7,2015,14,23,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,1,2,7,1,18.39,20.13,32.55,28.0
590448,431,19,2,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Hotel and restaurants: section H,Hotel and restaurants: section H,"Yes, screener and sample frame info match",Medium,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1006,2002,25,6,2015,14,49,Partnership,,50,50,50,0,0,European,,Yes,50.0,2007,DON'T KNOW,Yes,2007,10,No,No,,No,,,Yes,2.0,6.0,1.0,2.0,,Yes,2.0,DONT KNOW (SPONTANEOUS),Decreased,No,,,,,,Yes,Yes,Major Obstacle,Major Obstacle,Hotel Room Renting,5510,65,4016025.0,   Four Million Sixteen Thousand and Twenty Five,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,No,,,,,,,,,,,,,,,,No obstacle,No Obstacle,Minor Obstacle,Minor obstacle,DOES NOT APPLY,Minor obstacle,No obstacle,,,,No,No obstacle,No,,Yes,No,Yes,Yes,Yes,No,,,,No,,,,,,,,100,0,0,100,0,0,Yes,60.0,Yes,,,,Moderate Obstacle,Yes,,90984.0,No,,,No Obstacle,0,0,25,75,0,0,0,0,Yes,140000.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,659373.0,0.0,Yes,No,Yes,Private commercial banks,2014.0,2000000.0,Yes,Yes,No,No,No,No,DON'T KNOW,10.0,12.0,No,,No,,,3.0,6000000.0,No,Yes,,Application was approved in full,Yes,No change,Minor Obstacle,Strongly agree,30,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,Minor Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,35,41,29,DONT KNOW (SPONTANEOUS),,,,,,,,-9.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,97,No,,,No Obstacle,No Obstacle,8,2,1591275,120968,,,,,5899321,,,,,Yes,50000.0,,1,Male,,5.0,Male,,4.0,Female,25,6,2015,15,56,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,1,2,7,1,18.39,20.13,32.55,28.0
590449,432,14,2,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Construction Section F:,Construction Section F:,"Yes, screener and sample frame info match",Medium,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1003,2001,7,7,2015,10,20,Limited partnership,,50,100,0,0,0,,,Yes,50.0,2007,5,Yes,2007,20,No,No,,No,,,Yes,4.0,5.0,0.0,5.0,,Yes,DON'T KNOW,DONT KNOW (SPONTANEOUS),Decreased,No,,,,,,Yes,No,Minor Obstacle,Major Obstacle,Construction Machinery Rental Service,4550,100,8620000.0,   Eight Million Six Hundred Twenty Thousand,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,,No,,,,,,,,,,,,,,,,Very Severe Obstacle,No Obstacle,No Obstacle,No obstacle,DOES NOT APPLY,No obstacle,DOES NOT APPLY,,,,No,DOES NOT APPLY (SPONTANEOUS),Yes,Yes,No,No,Yes,Yes,No,No,,,,Yes,1.0,0.0,0.0,1.0,,,,0,100,0,0,100,0,No,,,,,,Very Severe Obstacle,No,,,No,,,Does Not Apply,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,Yes,800000.0,0.0,Yes,No,Yes,Private commercial banks,2014.0,3400000.0,Yes,No,No,No,Yes,No,4000000.0,2.0,48.0,No,,Yes,2.0,36.0,2.0,3000000.0,Yes,No,No need for a loan - establishment had sufficient capital,,Yes,No change,Minor Obstacle,DOES NOT APPLY,20,Yes,4.0,No,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,11,10,5,5,,,,,,,,-9.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,90,No,,,No Obstacle,No Obstacle,12,2,588735,600,,,,,5700000,,,,,Yes,100000.0,,7,Male,,,,,,,7,7,2015,11,13,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,2,7,1,18.39,20.13,32.55,28.0
590450,433,12,1,Non-retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Wholesale,Hotel and restaurants: section H,"No, does not match",Medium,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1008,2002,23,6,2015,10,9,Sole proprietorship,,100,100,0,0,0,,,Yes,100.0,2008,15,Yes,2008,6,Yes,No,,Yes,180.0,No,Yes,5.0,1.0,1.0,50.0,,Yes,20.0,DONT KNOW (SPONTANEOUS),Increased,No,,,,,,Yes,Yes,Major Obstacle,Minor Obstacle, food service,5520,60,500000.0,Five hundred thousand,100,0,0,,,,,,NO LOSSES,5.0,,,,,,,,Yes,3.0,Number of Application Still in Process,0.0,2.0,0.0,0.0,Private commercial banks,60000.0,60000.0,0.0,,30.0,No,,,Moderate obstacle,No Obstacle,No Obstacle,No obstacle,DOES NOT APPLY,No obstacle,Minor obstacle,,,,Yes,No obstacle,Yes,Yes,No,No,No,No,No,No,,,,No,,,,,,,,0,100,0,0,100,0,No,,,,,,No Obstacle,Yes,,14400.0,No,,,Does Not Apply,50,0,100,0,0,0,0,0,Yes,300000.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,No,,,Yes,No,Yes,Non-bank financial institutions,2011.0,500000.0,Yes,No,Yes,Yes,Yes,No,700000.0,2.0,3.0,No,,,,,DON'T KNOW,,No,No,Other,,Yes,Worsened,Moderate Obstacle,DOES NOT APPLY,5,Yes,2.0,No,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,Does Not Apply,Does Not Apply,30,27,20,DONT KNOW (SPONTANEOUS),,,,,,,,DON'T KNOW (SPONTANEOUS),NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,50,No,,,No Obstacle,No Obstacle,8,1,384000,15000,,,,,175000,,,,,Yes,9000.0,,6,Male,,,,,,,23,6,2015,11,16,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,1,2,7,1,18.39,20.13,32.55,28.0
590451,436,24,3,Retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Wholesale,Wholesale,"Yes, screener and sample frame info match",Medium,Medium,Yes,7,HQ with production and/or sales in this location,DOES NOT APPLY,Yes,Yes,1001,2001,22,6,2015,11,30,Partnership,,60,60,Don't Know,Don't Know,Don't Know,DONT KNOW (SPONTANEOUS),,Yes,25.0,1957,6,Yes,1957,30,No,No,,No,,,Yes,10.0,5.0,0.0,6.0,,Yes,5.0,DONT KNOW (SPONTANEOUS),No change,No,,,,,,Yes,Yes,Major Obstacle,Moderate Obstacle,Whole Seller And Retailer,5139,100,12000000.0,   Twelve Million,100,0,0,,,,,,NO LOSSES,NO LOSS,,,,,,,1.0,Yes,15.0,3.0,0.0,0.0,0.0,12.0,Private commercial banks,4000000.0,1000000.0,-9.0,,120.0,No,,,Very Severe Obstacle,No Obstacle,Very Severe Obstacle,Major obstacle,Major obstacle,Very Severe  obstacle,DOES NOT APPLY,,,,Yes,Major obstacle,No,,No,No,No,No,No,No,,,,No,,,,,,,,0,100,0,0,100,0,No,,,1000.0,Square Yards,,Does Not Apply,Yes,,240000.0,No,,,No Obstacle,-9,10,80,20,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,Yes,Private commercial banks,2011.0,3000000.0,Yes,No,No,No,No,No,100000000.0,1.0,3.0,No,,,,,1.0,1000000.0,No,No,No need for a loan - establishment had sufficient capital,,Yes,No change,No Obstacle,Strongly disagree,NO TIME WAS SPENT,Yes,Times inspected or met with tax officials,No,No,,,,,,,,Tend to disagree,Tend to agree,Strongly disagree,Tend to agree,Strongly disagree,No,,DONT KNOW (SPONTANEOUS),,No,,,No,,,Major Obstacle,No Obstacle,No Obstacle,No Obstacle,Do Not Know,No Obstacle,52,52,49,46,,,,,,,,23.0,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,100,No,,,No Obstacle,No Obstacle,8,3,2000000,5000,,,1000000.0,,8000000,,,,,Yes,40000000.0,,30,Male,,,,,,,22,6,2015,12,11,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,2,7,1,18.39,20.13,32.55,28.0
