firm_size_num,employees_now,employment_growth_rate,emp_growth_available,log_sales,capacity_util_pct,has_loan_bin,needs_finance_bin,credit_constrained,pct_internal_finance,pct_bank_finance,pct_supplier_finance,is_exporter,manager_female,manager_university,survey_year,mgmt_quality_score,infra_stress_score,obstacle_electricity_score,obstacle_finance_score,obstacle_informality_score,obstacle_workforce_score,obstacle_corruption_score,obstacle_transport_score,obstacle_customs_score,broad_sector_encoded,detailed_sector_encoded,region_encoded,legal_status_clean_encoded,country_encoded,biggest_obstacle_encoded,at_risk,distress_level,distress_signal_count,survey_weight,country,broad_sector,detailed_sector,region,firm_size,legal_status_clean
2.0,32.0,-0.2727272727272727,1,18.244888950474625,100.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,2018,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4,28,37,0,2,56,0,1,1.0,3.7184258,Kenya,Manufacturing,Food,Kiambu,Medium,Limited Partnership
1.0,6.0,0.0,1,14.287265153373655,100.0,1.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,1.1428571428571428,1.0,0.0,3.0,0.0,3.0,1.0,0.0,4,28,40,3,2,60,0,0,0.0,1.9398539,Kenya,Manufacturing,Food,Kirinyaga,Small,Private Limited
1.0,4.0,0.0,1,16.85740048605376,100.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,1.0,0.0,2018,2.0,0.5714285714285714,1.0,0.0,0.0,0.0,2.0,1.0,0.0,10,58,40,3,2,51,0,1,1.0,1.3100291,Kenya,Retail services,Textiles and Garments,Kirinyaga,Small,Private Limited
2.0,63.0,0.05,1,20.948927886180655,100.0,1.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,0.8571428571428571,1.0,0.0,0.0,0.0,2.0,3.0,0.0,4,28,40,3,2,60,0,0,0.0,1.1989987,Kenya,Manufacturing,Food,Kirinyaga,Medium,Private Limited
2.0,25.0,0.0,1,18.420680753952364,100.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,2.0,1.5714285714285714,4.0,0.0,2.0,2.0,1.0,2.0,0.0,4,58,37,0,2,51,0,1,1.0,1.517448,Kenya,Manufacturing,Textiles and Garments,Kiambu,Medium,Limited Partnership
2.0,23.0,-0.6166666666666667,1,16.52356082573315,90.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,2018,3.0,1.2857142857142858,0.0,2.0,3.0,0.0,3.0,1.0,0.0,4,44,37,4,2,56,0,1,1.0,2.4906144,Kenya,Manufacturing,Other Manufacturing,Kiambu,Medium,Public Company
2.0,40.0,0.0,1,17.72753358339242,100.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,2.0,0.2857142857142857,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,44,37,3,2,56,0,0,0.0,3.1312485,Kenya,Manufacturing,Other Manufacturing,Kiambu,Medium,Private Limited
1.0,20.0,-0.2,1,15.607270193858982,100.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,1.0,1.7142857142857142,2.0,0.0,2.0,0.0,2.0,2.0,4.0,4,28,37,2,2,40,1,2,2.0,3.518214,Kenya,Manufacturing,Food,Kiambu,Small,Partnership
3.0,500.0,1.5,1,22.109560198316302,100.0,0.0,1.0,1.0,30.0,70.0,0.0,1.0,0.0,0.0,2018,3.0,1.2857142857142858,0.0,4.0,0.0,1.0,4.0,0.0,0.0,4,44,37,3,2,56,0,1,1.0,2.750289,Kenya,Manufacturing,Other Manufacturing,Kiambu,Large,Private Limited
2.0,8.0,-0.1111111111111111,1,18.497641794347754,100.0,0.0,1.0,1.0,90.0,10.0,0.0,0.0,0.0,0.0,2018,3.0,0.7142857142857143,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7,45,37,5,2,57,1,2,2.0,3.6338089,Kenya,Other services,Other Services,Kiambu,Medium,Sole Proprietorship
3.0,98.0,0.0,1,19.00846741441004,100.0,1.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,1.5,2.0,0.0,3.0,1.0,1.0,1.0,1.0,7,60,37,5,2,35,0,0,0.0,1.9574976,Kenya,Other services,Tourism,Kiambu,Large,Sole Proprietorship
1.0,5.0,0.0,1,17.216707972959764,100.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,3.0,2.2857142857142856,2.0,2.0,4.0,1.0,3.0,2.0,2.0,4,28,51,5,2,40,0,0,0.0,2.0048578,Kenya,Manufacturing,Food,Nakuru,Small,Sole Proprietorship
1.0,8.0,0.0,1,16.012735246411598,70.0,0.0,1.0,1.0,40.0,0.0,60.0,0.0,1.0,0.0,2018,1.0,1.5714285714285714,3.0,1.0,3.0,1.0,1.0,1.0,1.0,4,28,51,5,2,50,0,1,1.0,9.819325,Kenya,Manufacturing,Food,Nakuru,Small,Sole Proprietorship
2.0,30.0,0.2,1,19.29614948547293,90.0,0.0,0.0,0.0,10.0,30.0,60.0,0.0,0.0,0.0,2018,3.0,1.7142857142857142,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4,18,51,0,2,59,0,0,0.0,1.2927475,Kenya,Manufacturing,"Chemical, Pharmaceutical, and Plastic",Nakuru,Medium,Limited Partnership
2.0,4.0,0.0,1,13.45883704259595,65.0,0.0,1.0,1.0,50.0,10.0,30.0,0.0,0.0,0.0,2018,1.0,1.7142857142857142,2.0,0.0,2.0,2.0,3.0,1.0,2.0,10,28,41,2,2,56,0,1,1.0,7.5296936,Kenya,Retail services,Food,Kisumu,Medium,Partnership
3.0,80.0,-0.4482758620689655,1,19.00846741441004,45.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,2.0,1.1428571428571428,3.0,0.0,2.0,1.0,2.0,0.0,0.0,7,28,41,5,2,56,1,2,2.0,6.5049987,Kenya,Other services,Food,Kisumu,Large,Sole Proprietorship
1.0,8.0,0.0,1,15.86963441986494,60.0,0.0,1.0,1.0,40.0,0.0,60.0,0.0,0.0,0.0,2018,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,4,44,48,5,2,35,0,1,1.0,2.1787982,Kenya,Manufacturing,Other Manufacturing,Mombasa,Small,Sole Proprietorship
1.0,16.0,0.0,1,16.811242881518265,100.0,0.0,1.0,1.0,60.0,0.0,40.0,0.0,0.0,0.0,2018,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,10,45,41,0,2,58,0,1,1.0,5.3633137,Kenya,Retail services,Other Services,Kisumu,Small,Limited Partnership
1.0,10.0,0.0,1,16.118095750958314,100.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,4,28,41,5,2,57,0,1,1.0,3.7350464,Kenya,Manufacturing,Food,Kisumu,Small,Sole Proprietorship
1.0,18.0,0.0,1,19.00846741441004,100.0,0.0,1.0,1.0,0.0,20.0,80.0,0.0,0.0,0.0,2018,0.0,1.3333333333333333,1.0,2.0,2.0,2.0,1.0,0.0,0.0,10,44,41,0,2,48,0,1,1.0,1.8029838,Kenya,Retail services,Other Manufacturing,Kisumu,Small,Limited Partnership
2.0,100.0,0.0,1,18.420680753952364,80.0,1.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,2018,1.0,2.142857142857143,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4,45,41,3,2,57,0,0,0.0,4.4770308,Kenya,Manufacturing,Other Services,Kisumu,Medium,Private Limited
1.0,10.0,-0.3333333333333333,1,16.012735246411598,100.0,1.0,1.0,0.0,50.0,50.0,0.0,1.0,1.0,0.0,2018,2.0,1.7142857142857142,1.0,2.0,2.0,0.0,3.0,2.0,2.0,10,55,41,0,2,42,0,1,1.0,1.2739604,Kenya,Retail services,Retail,Kisumu,Small,Limited Partnership
1.0,16.0,-0.2,1,16.906553056777135,70.0,0.0,1.0,1.0,7.0,60.0,30.0,0.0,0.0,0.0,2018,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,7,45,41,5,2,56,1,2,2.0,73.46793,Kenya,Other services,Other Services,Kisumu,Small,Sole Proprietorship
2.0,43.0,0.7916666666666666,1,18.132998684833918,100.0,0.0,1.0,1.0,75.0,0.0,25.0,0.0,0.0,0.0,2018,2.0,0.7142857142857143,0.0,1.0,1.0,0.0,0.0,0.0,3.0,10,45,41,5,2,56,0,1,1.0,1.0,Kenya,Retail services,Other Services,Kisumu,Medium,Sole Proprietorship
2.0,20.0,0.0,1,18.005165315142214,70.0,0.0,1.0,1.0,10.0,30.0,60.0,0.0,0.0,0.0,2018,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,7,55,41,0,2,59,0,1,1.0,1.0,Kenya,Other services,Retail,Kisumu,Medium,Limited Partnership
1.0,4.0,0.3333333333333333,1,13.652992804936396,80.0,1.0,0.0,0.0,55.0,0.0,45.0,0.0,0.0,0.0,2018,2.0,1.1428571428571428,0.0,3.0,1.0,0.0,2.0,2.0,0.0,4,55,41,5,2,40,0,0,0.0,1.728639,Kenya,Manufacturing,Retail,Kisumu,Small,Sole Proprietorship
2.0,14.0,0.029411764705882353,0,17.216707972959764,25.0,0.0,1.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,2018,1.0,2.2857142857142856,3.0,2.0,3.0,2.0,3.0,1.0,2.0,10,55,41,0,2,40,1,2,2.0,1.0,Kenya,Retail services,Retail,Kisumu,Medium,Limited Partnership
3.0,30.0,-0.3023255813953488,1,17.216707972959764,100.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,3.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,3.0,7,60,48,0,2,40,0,1,1.0,10.9223795,Kenya,Other services,Tourism,Mombasa,Large,Limited Partnership
1.0,6.0,0.0,1,17.216707972959764,100.0,0.0,1.0,1.0,20.0,0.0,80.0,0.0,0.0,0.0,2018,0.0,0.5714285714285714,1.0,1.0,1.0,0.0,0.0,1.0,0.0,10,55,41,5,2,56,0,1,1.0,2.7132797,Kenya,Retail services,Retail,Kisumu,Small,Sole Proprietorship
1.0,15.0,0.5,1,18.420680753952364,100.0,0.0,0.0,0.0,20.0,50.0,30.0,0.0,0.0,0.0,2018,1.0,2.2857142857142856,1.0,3.0,4.0,1.0,2.0,2.0,3.0,10,55,41,2,2,56,0,0,0.0,2.7132797,Kenya,Retail services,Retail,Kisumu,Small,Partnership
2.0,38.0,0.0,1,19.92475814295086,95.0,1.0,1.0,0.0,10.0,0.0,75.0,0.0,0.0,0.0,2018,3.0,1.1428571428571428,1.0,0.0,2.0,1.0,3.0,0.0,1.0,10,45,41,3,2,56,0,0,0.0,1.2325981,Kenya,Retail services,Other Services,Kisumu,Medium,Private Limited
2.0,25.0,-0.375,1,17.216707972959764,100.0,0.0,1.0,1.0,40.0,0.0,50.0,0.0,0.0,0.0,2018,2.0,1.5714285714285714,2.0,0.0,3.0,0.0,4.0,1.0,1.0,10,55,41,0,2,56,1,2,2.0,1.0,Kenya,Retail services,Retail,Kisumu,Medium,Limited Partnership
3.0,10.0,-0.3333333333333333,1,15.096444681204078,50.0,0.0,1.0,1.0,90.0,0.0,10.0,0.0,0.0,0.0,2018,1.0,0.2857142857142857,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7,60,41,3,2,57,1,2,3.0,1.5089637,Kenya,Other services,Tourism,Kisumu,Large,Private Limited
1.0,13.0,0.0,1,16.52356082573315,80.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,1.5714285714285714,1.0,2.0,3.0,1.0,2.0,1.0,1.0,7,55,41,3,2,58,0,0,0.0,13.280217,Kenya,Other services,Retail,Kisumu,Small,Private Limited
1.0,10.0,0.42857142857142855,1,15.501909696719672,60.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2018,3.0,2.5714285714285716,3.0,2.0,3.0,1.0,2.0,3.0,4.0,7,55,41,0,2,59,0,0,0.0,13.280217,Kenya,Other services,Retail,Kisumu,Small,Limited Partnership
2.0,23.0,0.5333333333333333,1,17.216707972959764,85.0,0.0,1.0,1.0,0.0,30.0,70.0,0.0,0.0,0.0,2018,1.0,1.1428571428571428,1.0,3.0,2.0,0.0,0.0,1.0,1.0,7,55,41,2,2,60,0,1,1.0,2.3039596,Kenya,Other services,Retail,Kisumu,Medium,Partnership
3.0,300.0,0.2,1,19.519293035953808,100.0,0.0,1.0,1.0,50.0,50.0,0.0,0.0,1.0,0.0,2018,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,10,55,41,0,2,56,0,1,1.0,1.0,Kenya,Retail services,Retail,Kisumu,Large,Limited Partnership
3.0,450.0,0.5,1,22.109560198316302,95.0,1.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,1.0,2.2857142857142856,2.0,3.0,3.0,1.0,3.0,2.0,2.0,4,55,41,3,2,40,0,0,0.0,1.0,Kenya,Manufacturing,Retail,Kisumu,Large,Private Limited
1.0,10.0,-0.09090909090909091,1,15.607270193858982,60.0,0.0,1.0,1.0,50.0,0.0,50.0,0.0,0.0,0.0,2018,0.0,1.2857142857142858,0.0,3.0,0.0,1.0,2.0,0.0,3.0,4,28,48,2,2,56,0,1,1.0,2.0943327,Kenya,Manufacturing,Food,Mombasa,Small,Partnership
2.0,30.0,0.0,1,16.380459992348886,60.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,1.2857142857142858,4.0,0.0,2.0,1.0,2.0,0.0,0.0,4,28,48,3,2,58,0,1,1.0,4.4652414,Kenya,Manufacturing,Food,Mombasa,Medium,Private Limited
1.0,10.0,0.0,1,16.195056784687036,90.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,1.1428571428571428,2.0,1.0,2.0,0.0,1.0,2.0,0.0,4,28,48,0,2,39,0,1,1.0,2.0943327,Kenya,Manufacturing,Food,Mombasa,Small,Limited Partnership
2.0,35.0,0.0,1,17.034386422832473,95.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,1.0,1.7142857142857142,2.0,0.0,3.0,1.0,3.0,2.0,1.0,4,18,48,2,2,57,0,1,1.0,3.5574882,Kenya,Manufacturing,"Chemical, Pharmaceutical, and Plastic",Mombasa,Medium,Partnership
3.0,15.0,0.0,1,18.31532023940565,100.0,0.0,1.0,1.0,20.0,60.0,20.0,1.0,0.0,0.0,2018,1.0,3.6666666666666665,4.0,4.0,0.0,3.0,3.0,4.0,4.0,4,44,48,0,2,40,0,1,1.0,3.6665618,Kenya,Manufacturing,Other Manufacturing,Mombasa,Large,Limited Partnership
2.0,20.0,0.0,1,17.909855136853043,100.0,0.0,1.0,1.0,33.0,33.0,34.0,0.0,0.0,0.0,2018,0.0,0.8571428571428571,0.0,1.0,0.0,1.0,3.0,1.0,0.0,4,44,48,0,2,40,0,1,1.0,7.586057,Kenya,Manufacturing,Other Manufacturing,Mombasa,Medium,Limited Partnership
2.0,27.0,0.17391304347826086,1,19.11382792951231,100.0,0.0,1.0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,2018,3.0,2.7142857142857144,3.0,3.0,0.0,2.0,4.0,3.0,4.0,4,44,48,3,2,40,0,1,1.0,7.586057,Kenya,Manufacturing,Other Manufacturing,Mombasa,Medium,Private Limited
3.0,300.0,1.0,1,23.28821519448487,100.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,3.0,1.4285714285714286,4.0,0.0,1.0,1.0,1.0,2.0,1.0,4,28,48,3,2,53,0,0,0.0,4.646015,Kenya,Manufacturing,Food,Mombasa,Large,Private Limited
2.0,50.0,0.0,1,18.197537205138154,90.0,0.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,2018,0.0,2.0,4.0,1.0,4.0,0.0,3.0,1.0,1.0,4,44,48,3,2,50,0,1,1.0,5.347607,Kenya,Manufacturing,Other Manufacturing,Mombasa,Medium,Private Limited
1.0,13.0,-0.07142857142857142,1,17.034386422832473,100.0,1.0,1.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,2018,0.0,1.2857142857142858,3.0,1.0,0.0,2.0,1.0,2.0,0.0,4,44,48,3,2,50,0,0,0.0,1.3800229,Kenya,Manufacturing,Other Manufacturing,Mombasa,Small,Private Limited
1.0,16.0,0.0,1,19.806975107572256,100.0,1.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,1.5714285714285714,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4,18,48,0,2,40,0,0,0.0,2.4198265,Kenya,Manufacturing,"Chemical, Pharmaceutical, and Plastic",Mombasa,Small,Limited Partnership
1.0,11.0,-0.56,1,16.52356082573315,100.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,1.0,2.4285714285714284,3.0,3.0,4.0,1.0,3.0,0.0,3.0,4,44,48,0,2,57,1,2,2.0,1.3800229,Kenya,Manufacturing,Other Manufacturing,Mombasa,Small,Limited Partnership
1.0,2.0,0.0,1,17.216707972959764,100.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,1.6666666666666667,1.0,0.0,0.0,1.0,3.0,1.0,4.0,7,58,48,3,2,44,0,1,1.0,2.578813,Kenya,Other services,Textiles and Garments,Mombasa,Small,Private Limited
1.0,4.0,0.0,1,15.250595321348806,100.0,0.0,1.0,1.0,15.0,0.0,25.0,0.0,0.0,0.0,2018,0.0,1.7142857142857142,2.0,3.0,3.0,1.0,3.0,0.0,0.0,4,44,48,5,2,40,0,1,1.0,2.1787982,Kenya,Manufacturing,Other Manufacturing,Mombasa,Small,Sole Proprietorship
2.0,43.0,0.075,1,17.6762402900575,100.0,1.0,1.0,0.0,80.0,0.0,20.0,0.0,0.0,0.0,2018,0.0,0.8571428571428571,1.0,1.0,0.0,3.0,0.0,1.0,0.0,4,28,48,2,2,53,0,0,0.0,3.5672812,Kenya,Manufacturing,Food,Mombasa,Medium,Partnership
2.0,50.0,-0.3333333333333333,1,20.55602991875253,60.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,1.0,2.142857142857143,4.0,0.0,1.0,2.0,3.0,3.0,2.0,4,18,48,2,2,44,1,2,2.0,2.8420773,Kenya,Manufacturing,"Chemical, Pharmaceutical, and Plastic",Mombasa,Medium,Partnership
1.0,7.0,0.0,1,18.244888950474625,100.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,0.0,0.8571428571428571,1.0,0.0,1.0,1.0,2.0,1.0,0.0,4,28,48,3,2,39,0,1,1.0,1.6731623,Kenya,Manufacturing,Food,Mombasa,Small,Private Limited
3.0,207.0,0.045454545454545456,1,20.030118658386467,100.0,0.0,1.0,1.0,70.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,1.1428571428571428,1.0,1.0,0.0,2.0,2.0,0.0,2.0,4,28,48,0,2,59,0,1,1.0,4.646015,Kenya,Manufacturing,Food,Mombasa,Large,Limited Partnership
1.0,27.0,0.0,1,18.258161826219297,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2018,2.0,1.1428571428571428,4.0,0.0,0.0,0.0,2.0,2.0,0.0,7,55,48,2,2,40,0,1,1.0,10.407186,Kenya,Other services,Retail,Mombasa,Small,Partnership
1.0,12.0,0.029411764705882353,0,15.424948670398354,50.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,2018,2.0,1.1428571428571428,1.0,1.0,2.0,0.0,2.0,0.0,2.0,7,55,48,5,2,59,1,2,2.0,10.407186,Kenya,Other services,Retail,Mombasa,Small,Sole Proprietorship
2.0,20.0,0.029411764705882353,0,16.52356082573315,70.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,10,55,48,0,2,50,0,1,1.0,5.4156933,Kenya,Retail services,Retail,Mombasa,Medium,Limited Partnership
1.0,20.0,0.3333333333333333,1,19.747755748064804,100.0,0.0,1.0,1.0,3.0,0.0,97.0,0.0,0.0,0.0,2018,0.0,0.8571428571428571,1.0,0.0,1.0,1.0,2.0,1.0,0.0,10,55,48,5,2,59,0,1,1.0,3.255955,Kenya,Retail services,Retail,Mombasa,Small,Sole Proprietorship
1.0,7.0,-0.3,1,18.31532023940565,100.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,2018,0.0,1.7142857142857142,4.0,1.0,2.0,2.0,1.0,1.0,1.0,10,45,48,2,2,48,1,2,2.0,12.71016,Kenya,Retail services,Other Services,Mombasa,Small,Partnership
1.0,5.0,-0.16666666666666666,1,17.034386422832473,100.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,1.2857142857142858,1.0,1.0,2.0,1.0,3.0,1.0,0.0,7,45,48,3,2,59,1,2,2.0,12.71016,Kenya,Other services,Other Services,Mombasa,Small,Private Limited
1.0,10.0,0.0,1,17.216707972959764,100.0,0.0,1.0,1.0,35.0,65.0,0.0,0.0,0.0,0.0,2018,0.0,1.8571428571428572,1.0,3.0,3.0,1.0,1.0,1.0,3.0,7,45,48,0,2,57,0,1,1.0,12.71016,Kenya,Other services,Other Services,Mombasa,Small,Limited Partnership
1.0,5.0,-0.5833333333333334,1,13.997832948091215,100.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,0.8571428571428571,1.0,3.0,1.0,0.0,0.0,0.0,1.0,7,60,48,0,2,57,1,2,2.0,26.314688,Kenya,Other services,Tourism,Mombasa,Small,Limited Partnership
2.0,25.0,-0.10714285714285714,1,15.894952224644102,100.0,0.0,1.0,1.0,50.0,0.0,50.0,1.0,0.0,0.0,2018,1.0,1.1428571428571428,2.0,0.0,0.0,1.0,3.0,1.0,1.0,7,60,48,5,2,59,1,2,2.0,9.133687,Kenya,Other services,Tourism,Mombasa,Medium,Sole Proprietorship
1.0,6.0,0.0,1,17.216707972959764,100.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,0.0,1.2857142857142858,3.0,1.0,1.0,1.0,2.0,1.0,0.0,7,45,48,5,2,39,0,1,1.0,12.71016,Kenya,Other services,Other Services,Mombasa,Small,Sole Proprietorship
